"Zotu100_P1_H01_75SHCON6_S506_N701" "Zotu102_P1_B06_71SHCON2_S508_N703" "Zotu102_P1_B08_17IZPOC2_S517_N704" "Zotu102_P2_G01_87ACONS9_S505_N707" "Zotu102_P3_C06_84ACON6_S504_N701" "Zotu103_P1_B06_71SHCON2_S508_N703" "Zotu103_P1_B08_17IZPOC2_S517_N704" "Zotu104_P2_E02_77SHCON8_S508_N707" "Zotu106_P1_H01_75SHCON6_S506_N701" "Zotu106_P2_G01_87ACONS9_S505_N707" "Zotu107_P3_A06_128ACON18_S503_N701" "Zotu109_P1_H01_75SHCON6_S506_N701" "Zotu110_P2_G01_87ACONS9_S505_N707" "Zotu111_P1_B08_17IZPOC2_S517_N704" "Zotu113_P3_C05_110ACON23_S508_N712" "Zotu117_P1_E02_21MMC3_S517_N701" "Zotu118_P1_F05_15SHC6C3_S506_N703" "Zotu118_P1_H04_19MMC1_S503_N703" "Zotu11_P1_A01_32TCONS2_S502_N701" "Zotu11_P1_D07_35TCONS5_S506_N704" "Zotu120_P3_A05_107ACON20_S507_N712" "Zotu125_P3_A06_128ACON18_S503_N701" "Zotu12_P1_D07_35TCONS5_S506_N704" "Zotu138_P1_B06_71SHCON2_S508_N703" "Zotu13_P1_D06_74SHCON5_S517_N703" "Zotu141_P3_A05_107ACON20_S507_N712" "Zotu143_P1_H06_36TCONS6_S503_N704" "Zotu14_P1_B08_17IZPOC2_S517_N704" "Zotu152_P3_A01_85ACON7_S507_N710" "Zotu158_P3_A05_107ACON20_S507_N712" "Zotu168_P3_A06_128ACON18_S503_N701" "Zotu171_P3_A07_81ACON3_S507_N701" "Zotu17_P4_E06_120ACON10_S508_N705" "Zotu181_P3_G06_108ACON21_S506_N701" "Zotu182_P1_D05_13SHC4C1_S505_N703" "Zotu182_P3_A05_107ACON20_S507_N712" "Zotu21_P3_C05_110ACON23_S508_N712" "Zotu26_P3_A01_85ACON7_S507_N710" "Zotu29_P3_C05_110ACON23_S508_N712" "Zotu34_P3_E03_86ACON8_S517_N711" "Zotu35_P3_A06_128ACON18_S503_N701" "Zotu35_P3_C05_110ACON23_S508_N712" "Zotu37_P3_C03_125ACON15_S508_N711" "Zotu41_P1_A01_32TCONS2_S502_N701" "Zotu41_P3_E03_86ACON8_S517_N711" "Zotu48_P1_B06_71SHCON2_S508_N703" "Zotu53_P1_H08_70SHCON1_S504_N705" "Zotu57_P3_A01_85ACON7_S507_N710" "Zotu57_P3_A06_128ACON18_S503_N701" "Zotu59_P1_H01_75SHCON6_S506_N701" "Zotu59_P3_A01_85ACON7_S507_N710" "Zotu60_P1_D06_74SHCON5_S517_N703" "Zotu61_P1_A03_38TCONS8_S503_N702" "Zotu65_P3_C04_79ACON1_S504_N712" "Zotu68_P2_G01_87ACONS9_S505_N707" "Zotu78_P4_C10_106ACON19_S508_N707" "Zotu82_P1_D06_74SHCON5_S517_N703" "Zotu83_P4_C09_73SHCON4_S504_N707" "Zotu98_P2_G01_87ACONS9_S505_N707"
"CON_NTO_AAB_W_125ACON15" 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_AAB_W_126ACON16" 1 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
"CON_NTO_AAB_W_127ACON17" 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"CON_NTO_AAB_W_128ACON18" 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
"CON_NTO_ASB_W_79ACON1" 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"CON_NTO_ASB_W_80ACON2" 0 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 1 0 1 1 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"CON_NTO_ASB_W_81ACON3" 1 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 1 0 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"CON_NTO_ASB_W_82ACON4" 0 0 0 0 1 1 0 0 1 1 1 0 1 0 1 0 0 1 0 1 1 1 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
"CON_NTO_ASB_W_83ACON5" 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
"CON_NTO_ASB_W_84ACON6" 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1
"CON_NTO_ASB_W_85ACON7" 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1
"CON_NTO_ASB_W_86ACON8" 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1
"CON_NTO_ASB_W_87ACON9" 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1
"CON_NTO_SJH_E_70SHCON1" 1 0 0 0 0 1 1 0 1 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0
"CON_NTO_SJH_E_71SHCON2" 1 1 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0
"CON_NTO_SJH_E_72SHCON3" 1 0 0 0 0 1 1 1 1 0 0 1 1 1 0 0 0 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
"CON_NTO_SJH_E_73SHCON4" 1 0 0 1 1 1 1 1 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"CON_NTO_SJH_E_74SHCON5" 1 0 1 1 0 1 1 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0
"CON_NTO_SJH_E_75SHCON6" 1 0 0 0 0 1 1 1 1 0 0 1 1 1 0 0 0 0 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0
"CON_NTO_SJH_E_76SHCON7" 1 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"CON_NTO_SJH_E_77SHCON8" 1 0 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_SJH_E_78SHCON9" 1 0 0 0 1 1 1 0 0 0 0 1 1 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_TLC_E_31TCONS1" 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"CON_NTO_TLC_E_32TCONS2" 1 0 1 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"CON_NTO_TLC_E_33TCONS3" 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"CON_NTO_TLC_E_34TCONS4" 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"CON_NTO_TLC_E_35TCONS5" 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_TLC_E_36TCONS6" 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"CON_NTO_TLC_E_37TCONS7" 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"CON_NTO_TLC_E_38TCONS8" 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"CON_NTO_TLC_E_39TCONS9" 1 0 0 1 1 1 1 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
